"event.id","visible","timestamp","location.long","location.lat","location.error.numerical","sensor.type","individual.taxon","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone","NA","NA"
1006443547,TRUE,2009-11-06 15:15:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-06 09:15:00
1006443548,TRUE,2009-11-09 16:00:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-09 10:00:00
1006443549,TRUE,2009-11-10 02:41:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-09 20:41:00
1006443550,TRUE,2009-11-11 06:05:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 00:05:00
1006443551,TRUE,2009-11-11 07:01:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 01:01:00
1006443552,TRUE,2009-11-11 08:00:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 02:00:00
1006443553,TRUE,2009-11-11 08:59:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 02:59:00
1006443554,TRUE,2009-11-11 09:57:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 03:57:00
1006443555,TRUE,2009-11-11 11:03:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 05:03:00
1006443556,TRUE,2009-11-11 12:05:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 06:05:00
1006443557,TRUE,2009-11-11 13:00:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 07:00:00
1006443558,TRUE,2009-11-11 13:56:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 07:56:00
1006443559,TRUE,2009-11-11 22:20:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 16:20:00
1006443560,TRUE,2009-11-11 23:00:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 17:00:00
1006443561,TRUE,2009-11-11 23:58:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 17:58:00
1006443562,TRUE,2009-11-12 01:00:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 19:00:00
1006443563,TRUE,2009-11-12 02:01:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 20:01:00
1006443564,TRUE,2009-11-12 03:00:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 21:00:00
1006443565,TRUE,2009-11-12 04:01:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 22:01:00
1006443566,TRUE,2009-11-12 05:03:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-11 23:03:00
1006443567,TRUE,2009-11-12 06:00:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-12 00:00:00
1006443568,TRUE,2009-11-12 21:10:00,-88.34338242573,40.1572706709263,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385590.999999946,4446077.99999995,"16N","Central Standard Time",2009-11-12 15:10:00
1006443569,TRUE,2009-11-13 15:40:00,-88.3431128109147,40.1566972144428,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385612.999999946,4446013.99999996,"16N","Central Standard Time",2009-11-13 09:40:00
1006443570,TRUE,2009-11-16 21:50:00,-88.3431793291056,40.1612640732395,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385614.999999944,4446520.99999996,"16N","Central Standard Time",2009-11-16 15:50:00
1006443571,TRUE,2009-11-16 22:35:00,-88.3431793291056,40.1612640732395,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385614.999999944,4446520.99999996,"16N","Central Standard Time",2009-11-16 16:35:00
1006443572,TRUE,2009-11-17 21:30:00,-88.3431793291056,40.1612640732395,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385614.999999944,4446520.99999996,"16N","Central Standard Time",2009-11-17 15:30:00
1006443573,TRUE,2009-11-17 22:35:00,-88.3431793291056,40.1612640732395,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385614.999999944,4446520.99999996,"16N","Central Standard Time",2009-11-17 16:35:00
1006443574,TRUE,2009-11-18 20:32:00,-88.3433029849817,40.1556229206697,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385594.999999945,4445894.99999996,"16N","Central Standard Time",2009-11-18 14:32:00
1006443575,TRUE,2009-11-18 21:15:00,-88.3432907138689,40.155596035636,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385595.999999945,4445891.99999996,"16N","Central Standard Time",2009-11-18 15:15:00
1006443576,TRUE,2009-11-19 14:35:00,-88.3433140135404,40.155586756153,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385593.999999944,4445890.99999996,"16N","Central Standard Time",2009-11-19 08:35:00
1006443577,TRUE,2009-11-19 15:37:00,-88.3433140135404,40.155586756153,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385593.999999944,4445890.99999996,"16N","Central Standard Time",2009-11-19 09:37:00
1006443578,TRUE,2009-11-19 16:37:00,-88.3433140135404,40.155586756153,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385593.999999944,4445890.99999996,"16N","Central Standard Time",2009-11-19 10:37:00
1006443579,TRUE,2009-11-19 17:32:00,-88.3433140135404,40.155586756153,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385593.999999944,4445890.99999996,"16N","Central Standard Time",2009-11-19 11:32:00
1006443580,TRUE,2009-11-19 18:35:00,-88.3433140135404,40.155586756153,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385593.999999944,4445890.99999996,"16N","Central Standard Time",2009-11-19 12:35:00
1006443581,TRUE,2009-11-19 19:34:00,-88.3433165216959,40.1551182518518,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385592.999999946,4445838.99999996,"16N","Central Standard Time",2009-11-19 13:34:00
1006443582,TRUE,2009-11-19 20:35:00,-88.3431294154857,40.1551564592571,16.6,"radio-transmitter","Neovison vison","150.624",1,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",385608.999999945,4445842.99999996,"16N","Central Standard Time",2009-11-19 14:35:00
