"event.id","visible","timestamp","location.long","location.lat","location.error.numerical","sensor.type","individual.taxon","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone","NA","NA"
1006443664,TRUE,2009-12-03 18:35:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-03 12:35:00
1006443665,TRUE,2009-12-03 19:30:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-03 13:30:00
1006443666,TRUE,2009-12-03 20:29:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-03 14:29:00
1006443667,TRUE,2009-12-03 21:28:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-03 15:28:00
1006443668,TRUE,2009-12-03 22:30:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-03 16:30:00
1006443669,TRUE,2009-12-04 18:02:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-04 12:02:00
1006443670,TRUE,2009-12-04 19:01:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-04 13:01:00
1006443671,TRUE,2009-12-04 20:02:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-04 14:02:00
1006443672,TRUE,2009-12-04 21:00:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-04 15:00:00
1006443673,TRUE,2009-12-04 22:01:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-04 16:01:00
1006443674,TRUE,2009-12-05 16:03:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-05 10:03:00
1006443675,TRUE,2009-12-05 18:00:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-05 12:00:00
1006443676,TRUE,2009-12-05 19:01:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-05 13:01:00
1006443677,TRUE,2009-12-07 13:34:00,-88.1779076532033,39.9796059717713,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399422.999999972,4426157.99999998,"16N","Central Standard Time",2009-12-07 07:34:00
1006443678,TRUE,2009-12-07 14:30:00,-88.1779076532033,39.9796059717713,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399422.999999972,4426157.99999998,"16N","Central Standard Time",2009-12-07 08:30:00
1006443679,TRUE,2009-12-07 15:32:00,-88.1779076532033,39.9796059717713,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399422.999999972,4426157.99999998,"16N","Central Standard Time",2009-12-07 09:32:00
1006443680,TRUE,2009-12-07 16:30:00,-88.1779076532033,39.9796059717713,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399422.999999972,4426157.99999998,"16N","Central Standard Time",2009-12-07 10:30:00
1006443681,TRUE,2009-12-07 17:29:00,-88.1779076532033,39.9796059717713,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399422.999999972,4426157.99999998,"16N","Central Standard Time",2009-12-07 11:29:00
1006443682,TRUE,2009-12-07 18:34:00,-88.1778584032933,39.9781018858501,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399424.999999973,4425990.99999998,"16N","Central Standard Time",2009-12-07 12:34:00
1006443683,TRUE,2009-12-07 19:29:00,-88.1778584032933,39.9781018858501,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399424.999999973,4425990.99999998,"16N","Central Standard Time",2009-12-07 13:29:00
1006443684,TRUE,2009-12-07 20:30:00,-88.1778584032933,39.9781018858501,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399424.999999973,4425990.99999998,"16N","Central Standard Time",2009-12-07 14:30:00
1006443685,TRUE,2009-12-07 21:33:00,-88.1778584032933,39.9781018858501,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399424.999999973,4425990.99999998,"16N","Central Standard Time",2009-12-07 15:33:00
1006443686,TRUE,2009-12-07 22:32:00,-88.1778584032933,39.9781018858501,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399424.999999973,4425990.99999998,"16N","Central Standard Time",2009-12-07 16:32:00
1006443687,TRUE,2009-12-07 23:28:00,-88.1778584032933,39.9781018858501,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399424.999999973,4425990.99999998,"16N","Central Standard Time",2009-12-07 17:28:00
1006443688,TRUE,2009-12-08 00:30:00,-88.1778584032933,39.9781018858501,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399424.999999973,4425990.99999998,"16N","Central Standard Time",2009-12-07 18:30:00
1006443689,TRUE,2009-12-10 19:32:00,-88.1757595307178,39.9724832462258,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399595.999999973,4425364.99999998,"16N","Central Standard Time",2009-12-10 13:32:00
1006443690,TRUE,2009-12-10 20:28:00,-88.1757595307178,39.9724832462258,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399595.999999973,4425364.99999998,"16N","Central Standard Time",2009-12-10 14:28:00
1006443691,TRUE,2009-12-10 21:29:00,-88.1757595307178,39.9724832462258,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399595.999999973,4425364.99999998,"16N","Central Standard Time",2009-12-10 15:29:00
1006443692,TRUE,2009-12-10 22:30:00,-88.1757595307178,39.9724832462258,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399595.999999973,4425364.99999998,"16N","Central Standard Time",2009-12-10 16:30:00
1006443693,TRUE,2009-12-10 23:28:00,-88.1757595307178,39.9724832462258,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399595.999999973,4425364.99999998,"16N","Central Standard Time",2009-12-10 17:28:00
1006443694,TRUE,2009-12-11 16:33:00,-88.173049621392,39.9680870326042,16.6,"radio-transmitter","Neovison vison","150.333",2,"American mink (Neovison vison) space use in Illinois (data from Ahlers et al. 2015)",399820.999999973,4424873.99999998,"16N","Central Standard Time",2009-12-11 10:33:00
